target,ikkb,ikkg,pst,sting
26-29-p,0,0,0,1
ABCB7,0,0,0,1
AGO2,0,0,0,1
AP-1-2beta,1,1,0,0
AP-2mu,0,1,0,0
ATPsyn-beta,0,0,0,1
ATPsyn-gamma,0,0,0,1
Aats-asn,0,0,0,1
Aats-asp,0,0,0,1
Aats-glupro,0,0,0,1
Acsl,0,0,0,1
Ady43A,0,0,0,1
Akap200,0,0,0,1
Ald,1,1,0,0
Aldh,0,0,0,1
Arp1,1,1,0,0
Atg17,0,1,0,0
Atpalpha,0,0,0,1
BEAF-32,0,1,0,0
CG10277,0,0,0,1
CG10289,1,1,0,1
CG10333,0,1,0,0
CG10470,0,0,0,1
CG10565,0,1,0,0
CG10590,0,0,0,1
CG10616,0,0,0,1
CG10639,0,0,0,1
CG10737,0,0,0,1
CG11007,0,0,0,1
CG11377,0,0,0,1
CG11414-RA,1,0,0,0
CG11665,0,0,0,1
CG11876,0,0,0,1
CG11883,1,1,0,0
CG11982,0,0,0,1
CG11984,0,0,0,1
CG11999,0,0,0,1
CG12262,0,0,0,1
CG12264,0,0,0,1
CG12304-RB,0,1,0,0
CG12360,0,0,0,1
CG12702,0,0,1,1
CG1344,0,0,0,1
CG1358,0,0,0,1
CG13624,1,0,0,0
CG1371,0,0,0,1
CG14040,0,0,0,1
CG14299,0,1,0,0
CG1444,0,0,0,1
CG1486,1,1,0,0
CG14969,0,1,0,1
CG15099,1,1,0,1
CG15100,0,0,0,1
CG1516,0,0,0,1
CG15784,0,0,0,1
CG1657,1,1,0,0
CG1667,0,0,0,1
CG17141,0,0,0,1
CG17233,0,1,0,0
CG17259,0,0,0,1
CG17266,0,0,1,0
CG17514,0,0,0,1
CG17593,0,0,0,1
CG17737,1,0,0,0
CG17896,0,0,0,1
CG1907,0,0,0,1
CG2051,0,1,0,0
CG2064,0,0,0,1
CG2658,0,0,0,1
CG2807,1,1,0,0
CG2982,0,1,0,0
CG3008,1,0,0,0
CG3061,0,0,0,1
CG31550,0,1,0,0
CG31650,1,1,0,0
CG32022,0,0,0,1
CG3209,0,0,0,1
CG32113,1,1,0,0
CG32138,0,0,0,1
CG32165,0,0,0,1
CG32699,0,0,0,1
CG33116,0,0,0,1
CG33303,0,0,0,1
CG3364,0,0,0,1
CG3566,0,0,0,1
CG3702,0,0,0,1
CG3714,0,0,0,1
CG3760,1,1,0,0
CG3884,0,0,0,1
CG3961,0,0,0,1
CG40042,0,0,0,1
CG4080,0,0,0,1
CG4164,0,0,0,1
CG42353,0,0,0,1
CG42353-RA,0,1,0,0
CG42389,0,0,1,0
CG42674,1,1,0,0
CG4332,0,0,0,1
CG4538,0,0,0,1
CG4552,0,1,0,0
CG4668,0,0,0,1
